Country,Continent,Rank2020,Year,Yield,Temperature
India,Asia,2,2016,205087,1.048
India,Asia,2,2017,223061,0.949
India,Asia,2,2018,239542,0.855
India,Asia,2,2019,230971,0.772
India,Asia,2,2020,237720,0.461
Iran,Asia,19,2006,257472,1.822
Iran,Asia,19,2007,270144,0.857
Iran,Asia,19,2008,255315,1.135
Iran,Asia,19,2009,266183,1.166
Iran,Asia,19,2010,292196,2.2
Iran,Asia,19,2011,276470,1.335
Iran,Asia,19,2012,279398,1.09
Iran,Asia,19,2013,289954,1.638
Iran,Asia,19,2014,313596,1.063
Iran,Asia,19,2015,320854,1.835
Iran,Asia,19,2016,314051,1.64
Iran,Asia,19,2017,335905,1.746
Iran,Asia,19,2018,335908,2.036
Iran,Asia,19,2019,338258,1.616
Iran,Asia,19,2020,341404,1.36
Kazakhstan,Asia,20,2006,153851,1.446
Kazakhstan,Asia,20,2007,155792,2.208
Kazakhstan,Asia,20,2008,144356,1.569
Kazakhstan,Asia,20,2009,162092,1.204
Kazakhstan,Asia,20,2010,143194,1.306
Kazakhstan,Asia,20,2011,167176,0.74
Kazakhstan,Asia,20,2012,165927,1.15
Kazakhstan,Asia,20,2013,181522,1.618
Kazakhstan,Asia,20,2014,184251,0.673
Kazakhstan,Asia,20,2015,185500,1.61
Kazakhstan,Asia,20,2016,190381,2.246
Kazakhstan,Asia,20,2017,194161,1.76
Kazakhstan,Asia,20,2018,197945,0.645
Kazakhstan,Asia,20,2019,203408,1.493
Kazakhstan,Asia,20,2020,206742,2.854
Netherlands,Europe,10,2006,400488,1.505
Netherlands,Europe,10,2007,437884,2.068
Netherlands,Europe,10,2008,455741,1.425
Netherlands,Europe,10,2009,463376,1.219
Netherlands,Europe,10,2010,435980,0.094
Netherlands,Europe,10,2011,460550,1.061
Netherlands,Europe,10,2012,451734,1.141
Netherlands,Europe,10,2013,422075,0.421
Netherlands,Europe,10,2014,456602,2.555
Netherlands,Europe,10,2015,427319,1.282
Netherlands,Europe,10,2016,419961,1.924
Netherlands,Europe,10,2017,459720,1.723
Netherlands,Europe,10,2018,366061,2.127
Netherlands,Europe,10,2019,420034,2.136
Netherlands,Europe,10,2020,426751,2.482
Pakistan,Asia,18,2006,133447,0.955
Pakistan,Asia,18,2007,193516,0.654
Pakistan,Asia,18,2008,164550,0.339
Pakistan,Asia,18,2009,202848,1.025
Pakistan,Asia,18,2010,226823,1.28
Pakistan,Asia,18,2011,219196,0.84
Pakistan,Asia,18,2012,183405,0.276
Pakistan,Asia,18,2013,218059,0.845
Pakistan,Asia,18,2014,181506,0.453
Pakistan,Asia,18,2015,234439,0.606
Pakistan,Asia,18,2016,224346,1.226
Pakistan,Asia,18,2017,214503,1.322
Pakistan,Asia,18,2018,236699,1.418
Pakistan,Asia,18,2019,248874,0.608
Pakistan,Asia,18,2020,245612,0.383
Peru,Americas,12,2006,124533,0.786
Peru,Americas,12,2007,126342,0.53
Peru,Americas,12,2008,129138,0.578
Peru,Americas,12,2009,133353,0.828
Peru,Americas,12,2010,131588,0.996
Peru,Americas,12,2011,137379,0.764
Peru,Americas,12,2012,143316,0.853
Peru,Americas,12,2013,144125,0.649
Peru,Americas,12,2014,147779,0.863
Peru,Americas,12,2015,149122,1.245
Peru,Americas,12,2016,145293,1.383
Peru,Americas,12,2017,153875,0.928
Peru,Americas,12,2018,159012,0.7
Peru,Americas,12,2019,162730,0.996
Peru,Americas,12,2020,164722,1.502
Poland,Europe,9,2006,150394,0.839
Poland,Europe,9,2007,207006,2.15
Poland,Europe,9,2008,190607,1.756
Poland,Europe,9,2009,191018,1.274
Poland,Europe,9,2010,210838,0.403
Poland,Europe,9,2011,230338,0.764
Poland,Europe,9,2012,243751,1.379
Poland,Europe,9,2013,210624,0.65
Poland,Europe,9,2014,277661,2.349
Poland,Europe,9,2015,210207,1.999
Poland,Europe,9,2016,286304,2.038
Poland,Europe,9,2017,278503,1.461
Poland,Europe,9,2018,251296,2.418
Poland,Europe,9,2019,214283,2.64
Poland,Europe,9,2020,347683,2.651
Russia,Asia,4,2006,133298,0.57
Russia,Asia,4,2007,131981,2.506
Russia,Asia,4,2008,137546,2.238
Russia,Asia,4,2009,142662,1.202
Russia,Asia,4,2010,100234,0.89
Russia,Asia,4,2011,148378,1.714
Russia,Asia,4,2012,134412,1.941
Russia,Asia,4,2013,144644,1.183
Russia,Asia,4,2014,149902,1.772
Russia,Asia,4,2015,159337,2.259
Russia,Asia,4,2016,157575,2.471
Russia,Asia,4,2017,162536,2.142
Russia,Asia,4,2018,170499,2.058
Russia,Asia,4,2019,178228,2.192
Russia,Asia,4,2020,166432,3.699
Turkey,Asia,16,2006,276077,0.862
Turkey,Asia,16,2007,276422,0.953
Turkey,Asia,16,2008,282947,0.813
Turkey,Asia,16,2009,305986,0.649
Turkey,Asia,16,2010,323303,2.342
Turkey,Asia,16,2011,324041,0.365
Turkey,Asia,16,2012,280384,0.94
Turkey,Asia,16,2013,315329,1.34
Turkey,Asia,16,2014,324475,1.321
Turkey,Asia,16,2015,309489,0.811
Turkey,Asia,16,2016,328252,1.575
Turkey,Asia,16,2017,336014,0.768
Turkey,Asia,16,2018,334795,2.629
Turkey,Asia,16,2019,353766,1.695
Turkey,Asia,16,2020,351434,1.912
Ukraine,Europe,3,2006,133199,0.28
Ukraine,Europe,3,2007,131439,2.393
Ukraine,Europe,3,2008,138728,1.634
Ukraine,Europe,3,2009,139298,1.622
Ukraine,Europe,3,2010,132481,1.661
Ukraine,Europe,3,2011,168039,0.587
Ukraine,Europe,3,2012,161001,1.956
Ukraine,Europe,3,2013,159664,1.519
Ukraine,Europe,3,2014,176447,1.713
Ukraine,Europe,3,2015,161420,2.085
Ukraine,Europe,3,2016,165830,2.128
Ukraine,Europe,3,2017,167837,1.436
Ukraine,Europe,3,2018,170498,2.252
Ukraine,Europe,3,2019,154869,2.38
Ukraine,Europe,3,2020,157244,3.032
UK,Europe,11,2006,415887,1.244
UK,Europe,11,2007,401926,1.327
UK,Europe,11,2008,416597,0.832
UK,Europe,11,2009,444167,0.945
UK,Europe,11,2010,438841,-0.063
UK,Europe,11,2011,432192,0.84
UK,Europe,11,2012,305570,0.571
UK,Europe,11,2013,408993,0.367
UK,Europe,11,2014,419220,1.717
UK,Europe,11,2015,437519,0.61
UK,Europe,11,2016,388129,1.165
UK,Europe,11,2017,425890,1.43
UK,Europe,11,2018,361429,1.013
UK,Europe,11,2019,368542,1.248
UK,Europe,11,2020,388732,1.392
USA,Americas,5,2006,440949,1.028
USA,Americas,5,2007,444336,1.147
USA,Americas,5,2008,444373,0.215
USA,Americas,5,2009,464446,0.399
USA,Americas,5,2010,449438,0.694
USA,Americas,5,2011,446923,0.539
USA,Americas,5,2012,457762,1.451
USA,Americas,5,2013,463577,0.618
USA,Americas,5,2014,471507,0.504
USA,Americas,5,2015,469000,1.534
USA,Americas,5,2016,486408,2.229
USA,Americas,5,2017,483887,1.437
USA,Americas,5,2018,497274,1.278
USA,Americas,5,2019,507522,1.04
USA,Americas,5,2020,507933,1.331
